dataset,ablation,seed,node_f1,edge_auroc,subgraph_f1,explanation_fidelity,stability,completeness,latency_seconds
streamspot,minus_gating_mechanism,66,0.6543535620052771,0.517472,0.8888888888888888,0.0128102749586105,1.0,0.9999961853027344,0.0316573525001331
streamspot,minus_gating_mechanism,77,0.662883087400681,0.5225120000000001,0.6666666666666666,0.0249239616096019,1.0,1.0,0.0303107970003111
streamspot,minus_gating_mechanism,88,0.6723716381418093,0.463632,0.6153846153846154,0.0,1.0,0.9999939799308776,0.0371377119995486
streamspot,minus_gating_mechanism,99,0.662883087400681,0.510784,0.7272727272727273,0.041494321078062,0.9983968019485474,1.0,0.0391094559995508
streamspot,minus_gating_mechanism,110,0.6605293440736478,0.5132639999999999,0.6666666666666666,0.0241281427443027,1.0,1.0,0.0383405875004427
theia,full,11,0.9797979797979798,0.99925,0.6666666666666666,0.5382183194160461,1.0,1.0,0.0095342990000517
theia,full,22,0.9797979797979798,0.99925,0.6666666666666666,0.4992894828319549,1.0,1.0,0.0082309525000709
theia,full,33,0.9797979797979798,0.999275,0.6666666666666666,0.4373604357242584,1.0,1.0,0.0085241254998891
theia,full,44,0.9797979797979798,0.9993,0.6666666666666666,0.5269151926040649,1.0,1.0,0.0097978670000884
theia,full,55,0.9797979797979798,0.99925,0.6666666666666666,0.5473818182945251,1.0,1.0,0.0095434024999576
theia,full,66,0.0,0.99925,0.6666666666666666,,,,
theia,full,77,0.9797979797979798,0.99925,0.6666666666666666,0.5285354852676392,1.0,1.0,0.0093106680001255
theia,full,88,0.9797979797979798,0.99925,0.6666666666666666,0.4825482666492462,1.0,1.0,0.0079898915003013
theia,full,99,0.9797979797979798,0.9992,0.6666666666666666,0.4895537197589874,1.0,1.0,0.0084443730002021
theia,full,110,0.9797979797979798,0.999175,0.6666666666666666,0.5206099152565002,1.0,1.0,0.0084694695001417
theia,minus_temporal_stream,11,0.9797979797979798,0.9993,0.6666666666666666,0.5006329417228699,1.0,1.0,0.0420576949998121
theia,minus_temporal_stream,22,0.9797979797979798,0.99925,0.6666666666666666,0.5323383808135986,1.0,1.0,0.010700098999905
theia,minus_temporal_stream,33,0.9797979797979798,0.99925,0.6666666666666666,0.4335915446281433,1.0,1.0,0.0103760559998136
theia,minus_temporal_stream,44,0.0,0.999325,0.6666666666666666,,,,
theia,minus_temporal_stream,55,0.9797979797979798,0.99925,0.6666666666666666,0.518230676651001,1.0,1.0,0.0096458319999328
theia,minus_temporal_stream,66,0.0,0.99925,0.6666666666666666,,,,
theia,minus_temporal_stream,77,0.9797979797979798,0.999175,0.6666666666666666,0.565942645072937,1.0,1.0,0.0191559059999235
theia,minus_temporal_stream,88,0.9797979797979798,0.99925,0.6666666666666666,0.4711810350418091,1.0,1.0,0.0109664424999209
theia,minus_temporal_stream,99,0.9797979797979798,0.99925,0.6666666666666666,0.4711606502532959,1.0,1.0,0.0147804619998623
